order_id,order_date,customer_id,product_id,quantity,channel,discount_applied
ORD-50042,2023-07-03,CUST-1041,P-2015,4,Mobile App,0.0
ORD-50043,2024-02-10,CUST-1369,P-2025,4,Mobile App,0.0
ORD-50044,2023-12-27,CUST-1991,P-2034,3,Online,0.0
ORD-50045,2023-07-13,CUST-1374,P-2038,1,Mobile App,0.0
ORD-50046,2024-02-23,CUST-1888,P-2023,-1,Online,0.0
ORD-50047,2023-04-28,CUST-1078,P-2033,3,Mobile App,0.2
ORD-50048,2023-08-01,CUST-1830,P-2022,1,Online,0.0
ORD-50049,2023-07-30,CUST-1022,P-2016,1,Mobile App,0.0
ORD-50050,2023-10-21,CUST-1150,P-2004,2,Mobile App,0.19
ORD-50051,2024-03-25,CUST-1736,P-2047,3,In-Store,0.05
ORD-50052,2024-03-01,CUST-1420,P-2039,2,Mobile App,0.0
ORD-50053,2023-03-27,CUST-1741,P-2044,3,In-Store,0.0
ORD-50054,2023-02-25,CUST-1016,P-2013,5,Online,0.0
ORD-50055,2023-04-01,CUST-1487,P-2040,5,Online,0.0
ORD-50056,2023-12-04,CUST-1133,P-2039,5,Mobile App,0.0
ORD-50057,2023-08-04,CUST-1379,P-2003,5,In-Store,0.0
ORD-50058,2024-02-16,CUST-1759,P-2049,5,Online,0.03
ORD-50059,11/03/23,CUST-1897,P-2035,4,Online,0.0
ORD-50060,2023-03-02,CUST-1532,P-2001,4,In-Store,0.0
ORD-50061,2023-08-07,CUST-1667,P-2038,3,Mobile App,0.0
ORD-50062,2023-12-15,CUST-1406,P-2049,2,In-Store,0.0
ORD-50063,2023-09-05,CUST-1259,P-2020,5,Mobile App,0.0
ORD-50064,2023-04-28,CUST-1457,P-2045,2,Mobile App,0.0
ORD-50065,2023-12-17,CUST-1723,P-2004,2,Online,0.0
ORD-50066,2023-11-04,CUST-1445,P-2006,1,Mobile App,0.0
ORD-50067,2023-07-25,CUST-1628,P-2042,5,Online,0.0
ORD-50068,2023-08-13,CUST-1010,P-2013,5,Mobile App,0.0
ORD-50069,2023-11-11,CUST-1173,P-2044,1,Online,0.23
ORD-50070,2023-06-30,CUST-1685,P-2026,4,Online,0.16
ORD-50071,2024-01-07,CUST-1849,P-2036,5,Mobile App,0.14
ORD-50072,2023-07-26,CUST-1588,P-2001,3,Mobile App,0.0
ORD-50073,2023-03-01,CUST-1822,P-2033,3,Mobile App,0.0
ORD-50074,2023-07-13,CUST-1576,P-2031,2,In-Store,0.26
ORD-50075,2023-09-04,CUST-1119,P-2017,1,Mobile App,0.0
ORD-50076,2023-06-11,CUST-1422,P-2023,5,In-Store,0.0
ORD-50077,2023-12-11,CUST-1766,P-2022,1,Online,0.08
ORD-50078,2024-01-18,CUST-1699,P-2013,4,In-Store,0.0
ORD-50079,2023-04-14,CUST-1854,P-2016,5,Online,0.0
ORD-50080,2023-12-06,CUST-1504,P-2040,1,In-Store,0.0
ORD-50081,2023-06-11,CUST-1504,P-2037,3,In-Store,0.0
ORD-50082,2024-01-20,CUST-1590,P-2009,1,Online,0.0
ORD-50083,2023-07-21,CUST-1881,P-2044,2,In-Store,0.0
ORD-50084,2023-01-07,CUST-1690,P-2014,4,In-Store,0.0
ORD-50085,2023-05-15,CUST-1242,P-2018,4,In-Store,0.0
ORD-50086,2023-12-25,CUST-1770,P-2024,3,Online,0.21
ORD-50087,2024-02-21,CUST-1102,P-2047,3,Online,0.0
ORD-50088,2024-01-14,CUST-1153,P-2031,1,Mobile App,0.0
ORD-50089,2024-01-04,CUST-1323,P-2032,3,Online,0.0
ORD-50090,2023-01-31,CUST-1220,P-2017,4,In-Store,0.0
,2023-10-14,CUST-1570,P-2017,3,Mobile App,0.0
ORD-50092,2023-10-22,CUST-1665,P-2042,5,Mobile App,0.0
ORD-50093,2024-02-01,CUST-1754,P-2029,1,Online,0.19
ORD-50094,2023-06-22,CUST-1431,P-2041,5,Online,0.0
ORD-50095,2023-06-10,CUST-1324,P-2042,3,In-Store,0.28
ORD-50096,2024-01-18,CUST-1601,P-2034,4,Mobile App,0.0
ORD-50097,2023-05-09,CUST-1963,P-2048,1,In-Store,0.0
ORD-50098,2023-01-14,CUST-1789,P-2026,5,Online,0.0
ORD-50099,2023-07-19,CUST-1316,P-2015,2,Mobile App,0.01
ORD-50100,2023-12-06,CUST-1365,P-2021,4,Mobile App,0.0
ORD-50101,2023-12-24,CUST-1552,P-2012,5,Mobile App,0.0
ORD-50102,2023-11-24,CUST-1654,P-2035,3,Online,0.0
ORD-50103,07/07/23,CUST-1422,P-2017,2,Online,0.0
ORD-50104,2023-08-29,CUST-1547,P-2001,-1,In-Store,0.18
ORD-50105,2024-02-12,CUST-1007,P-2036,3,Online,0.0
ORD-50106,2024-01-13,CUST-1661,P-2025,4,Mobile App,0.27
ORD-50107,2024-02-18,CUST-1710,P-2044,3,In-Store,0.0
ORD-50108,2023-02-05,CUST-1186,P-2009,3,Mobile App,0.0
ORD-50109,2023-04-07,CUST-1328,P-2002,2,Online,0.0
ORD-50110,2023-03-06,CUST-1732,P-2029,1,In-Store,0.0
ORD-50111,2024-02-07,CUST-1818,P-2032,3,Online,0.0
ORD-50112,2024-02-02,CUST-1401,P-2005,5,In-Store,0.04
ORD-50113,2024-01-29,CUST-1731,P-2016,4,Online,0.0
ORD-50114,2024-01-12,CUST-1789,P-2007,5,In-Store,0.05
ORD-50115,2024-01-08,CUST-1043,P-2048,5,Online,0.0
ORD-50116,2023-01-27,CUST-1884,P-2043,2,Online,0.0
ORD-50117,05/22/23,CUST-1598,P-2008,4,Mobile App,0.0
ORD-50118,2023-11-02,CUST-1158,P-2024,1,In-Store,0.3
ORD-50119,2023-11-17,CUST-1061,P-2004,3,Online,0.0
ORD-50120,2023-06-12,CUST-1571,P-2042,3,Mobile App,0.0
ORD-50121,2024-01-06,CUST-1137,P-2017,1,Mobile App,0.0
ORD-50122,2023-10-18,CUST-1191,P-2035,3,Mobile App,0.17
ORD-50123,2023-02-05,CUST-1543,P-2010,4,Online,0.15
ORD-50124,2024-01-11,CUST-1189,P-2002,5,Mobile App,0.0
ORD-50125,2023-10-03,CUST-1838,P-2025,2,Mobile App,0.0
ORD-50126,2023-07-29,CUST-1656,P-2021,1,Online,0.0
ORD-50127,2023-01-17,CUST-1206,P-2007,4,In-Store,0.0
ORD-50128,2023-09-27,CUST-1638,P-2045,5,Online,0.0
ORD-50129,2023-04-17,CUST-1671,P-2032,1,Mobile App,0.12
ORD-50130,2023-07-08,CUST-1813,P-2046,1,Online,0.02
ORD-50131,2023-04-21,CUST-1983,P-2034,1,Online,0.0
ORD-50132,2023-05-08,CUST-1583,P-2041,2,Mobile App,0.0
ORD-50133,2023-12-12,CUST-1469,P-2045,4,In-Store,0.0
ORD-50134,2023-12-03,CUST-1161,P-2035,5,In-Store,0.12
ORD-50135,2023-11-21,CUST-1440,P-2047,3,Mobile App,0.08
ORD-50136,2023-08-20,CUST-1458,P-2026,1,Mobile App,0.0
ORD-50137,2023-06-04,CUST-1006,P-2020,2,Mobile App,0.28
ORD-50138,2023-09-19,CUST-1569,P-2037,5,Online,0.0
ORD-50139,2023-10-26,CUST-1255,P-2015,3,Online,0.22
ORD-50140,2024-02-10,CUST-1494,P-2012,4,Online,0.0
ORD-50141,2023-06-03,CUST-1038,P-2047,5,In-Store,0.0
ORD-50142,2024-02-23,CUST-1444,P-2027,1,Mobile App,0.19
ORD-50143,2023-11-20,CUST-1391,P-2004,3,In-Store,0.0
ORD-50144,2023-04-24,CUST-1156,P-2004,4,Online,0.0
ORD-50145,2023-05-29,CUST-1805,P-2026,2,Online,0.0
ORD-50146,2023-05-15,CUST-1087,P-2026,5,In-Store,0.0
ORD-50147,2023-09-07,CUST-1404,P-2042,5,Online,0.0
ORD-50148,2023-05-17,CUST-1795,P-2028,3,In-Store,0.0
ORD-50149,06/28/23,CUST-1195,P-2021,3,In-Store,0.0
ORD-50150,2024-02-16,CUST-1452,P-2040,2,Mobile App,0.0
ORD-50151,2024-01-23,CUST-1745,P-2006,1,Online,0.25
ORD-50152,2023-01-08,CUST-1351,P-2045,1,Mobile App,0.0
ORD-50153,2023-04-15,CUST-1559,P-2034,3,Mobile App,0.0
ORD-50154,2023-01-10,CUST-1385,P-2038,5,Mobile App,0.0
ORD-50155,2023-01-28,CUST-1476,P-2042,1,Mobile App,0.0
ORD-50156,2023-02-25,CUST-1019,P-2019,4,Online,0.15
ORD-50157,2023-11-02,CUST-1544,P-2006,2,Mobile App,0.0
ORD-50158,2023-05-07,CUST-1944,P-2034,3,In-Store,0.0
ORD-50159,2023-07-01,CUST-1640,P-2020,2,Online,0.0
ORD-50160,2024-03-25,CUST-1396,P-2002,5,In-Store,0.0
ORD-50161,2023-02-14,CUST-1747,P-2025,5,Online,0.0
ORD-50162,2023-10-21,CUST-1156,P-2028,3,Online,0.0
ORD-50163,2023-10-25,CUST-1554,P-2044,2,Mobile App,0.13
ORD-50164,2024-01-30,CUST-1148,P-2042,5,Mobile App,0.0
ORD-50165,2023-06-12,CUST-1859,P-2010,1,In-Store,0.0
ORD-50166,2024-01-17,CUST-1956,P-2041,3,Online,0.18
ORD-50167,2023-05-17,CUST-1620,P-2037,5,In-Store,0.0
ORD-50168,2024-02-04,CUST-1488,P-2009,5,Online,0.15
ORD-50169,2023-03-12,CUST-1167,P-2013,-1,In-Store,0.07
ORD-50170,2023-12-10,CUST-1207,P-2049,2,Mobile App,0.0
ORD-50171,2023-06-16,CUST-1887,P-2030,2,In-Store,0.12
ORD-50172,2024-01-16,CUST-1585,P-2039,5,Mobile App,0.0
ORD-50173,2023-08-22,CUST-1846,P-2003,2,Mobile App,0.0
ORD-50174,2024-01-27,CUST-1645,P-2004,2,In-Store,0.0
ORD-50175,2023-08-05,CUST-1301,P-2040,1,Mobile App,0.0
ORD-50176,2024-01-05,CUST-1512,P-2008,2,Online,0.0
ORD-50177,2023-06-15,CUST-1461,P-2002,2,In-Store,0.0
ORD-50178,2023-06-15,CUST-1708,P-2042,2,In-Store,0.0
ORD-50179,2023-02-13,CUST-1536,P-2046,4,Online,0.0
ORD-50180,2023-07-14,CUST-1044,P-2050,2,Online,0.0
ORD-50181,2023-03-16,CUST-1183,P-2050,1,In-Store,0.0
,2023-04-03,CUST-1120,P-2009,-1,In-Store,0.16
ORD-50183,2023-01-03,CUST-1622,P-2032,2,In-Store,0.0
ORD-50184,2023-11-04,CUST-1006,P-2016,5,Online,0.0
ORD-50185,2023-03-17,CUST-1056,P-2042,3,Mobile App,0.0
ORD-50186,2023-02-14,CUST-1050,P-2007,4,Mobile App,0.0
ORD-50187,2023-11-01,CUST-1586,P-2036,2,Online,0.0
ORD-50188,2023-06-03,CUST-1330,P-2024,4,Online,0.0
ORD-50189,2023-03-10,CUST-1124,P-2045,3,Online,0.0
ORD-50190,2023-02-25,CUST-1585,P-2047,5,Mobile App,0.0
ORD-50191,2023-11-08,CUST-1868,P-2021,3,Online,0.0
ORD-50192,2023-09-12,CUST-1532,P-2047,4,Mobile App,0.0
ORD-50193,2023-04-10,CUST-1001,P-2008,1,Online,0.3
ORD-50194,2023-07-31,CUST-1046,P-2022,-1,Online,0.0
ORD-50195,2023-05-11,CUST-1809,P-2005,3,Online,0.0
ORD-50196,06/24/23,CUST-1405,P-2047,5,In-Store,0.28
ORD-50197,2023-09-03,CUST-1938,P-2031,1,Mobile App,0.14
ORD-50198,2024-02-21,CUST-1423,P-2048,1,In-Store,0.0
ORD-50199,2023-01-10,CUST-1213,P-2037,3,Online,0.0
ORD-50200,2023-01-16,CUST-1347,P-2025,5,Mobile App,0.0
ORD-50201,2024-02-05,CUST-1769,P-2020,3,Online,0.0
ORD-50202,2024-02-29,CUST-1973,P-2020,2,Online,0.27
ORD-50203,2023-08-16,CUST-1518,P-2002,4,In-Store,0.16
ORD-50204,2024-02-02,CUST-1335,P-2010,1,Online,0.0
ORD-50205,2023-01-19,CUST-1470,P-2025,5,Mobile App,0.1
ORD-50206,2023-01-24,CUST-1105,P-2034,3,Online,0.0
ORD-50207,2023-04-09,CUST-1293,P-2018,5,Online,0.0
ORD-50208,2023-02-28,CUST-1015,P-2040,5,In-Store,0.0
ORD-50209,2023-12-27,CUST-1823,P-2019,5,In-Store,0.0
ORD-50210,2023-01-26,CUST-1133,P-2002,4,Online,0.0
ORD-50211,2023-04-02,CUST-1721,P-2039,5,In-Store,0.0
ORD-50212,2024-02-23,CUST-1202,P-2046,5,Mobile App,0.0
ORD-50213,2024-02-21,CUST-1821,P-2045,4,In-Store,0.0
ORD-50214,2023-04-25,CUST-1147,P-2040,3,Mobile App,0.0
ORD-50215,2024-03-16,CUST-1903,P-2021,4,In-Store,0.0
ORD-50216,2023-03-29,CUST-1289,P-2050,3,Mobile App,0.1
ORD-50217,2023-11-29,CUST-1072,P-2020,5,Online,0.0
ORD-50218,2023-09-04,CUST-1393,P-2005,3,In-Store,0.0
ORD-50219,2023-06-25,CUST-1557,P-2045,2,Mobile App,0.0
ORD-50220,2023-09-07,CUST-1117,P-2038,5,Online,0.0
ORD-50221,2023-07-27,CUST-1071,P-2039,1,In-Store,0.0
ORD-50222,2023-12-05,CUST-1062,P-2006,2,Mobile App,0.23
ORD-50223,2023-12-05,CUST-1152,P-2029,5,Online,0.0
ORD-50224,2023-06-12,CUST-1306,P-2037,3,In-Store,0.17
ORD-50225,2023-11-10,CUST-1522,P-2026,2,Online,0.0
ORD-50226,2023-10-14,CUST-1840,P-2023,1,Mobile App,0.0
ORD-50227,2023-11-17,CUST-1325,P-2046,4,Online,0.0
ORD-50228,2023-04-07,CUST-1568,P-2025,3,Mobile App,0.0
ORD-50229,2023-01-06,CUST-1073,P-2042,1,Online,0.0
ORD-50230,2023-11-25,CUST-1825,P-2027,4,Mobile App,0.0
ORD-50231,2023-09-18,CUST-1434,P-2036,4,Online,0.0
ORD-50232,2024-03-09,CUST-1748,P-2016,5,Online,0.17
ORD-50233,2023-12-27,CUST-1377,P-2008,5,Mobile App,0.0
ORD-50234,2024-03-15,CUST-1768,P-2050,3,Online,0.0
ORD-50235,2023-11-19,CUST-1759,P-2043,1,Mobile App,0.0
ORD-50236,2023-06-25,CUST-1547,P-2050,1,Mobile App,0.0
ORD-50237,2023-06-30,CUST-1983,P-2019,3,In-Store,0.17
ORD-50238,2023-02-01,CUST-1644,P-2031,5,Mobile App,0.0
ORD-50239,2023-05-27,CUST-1496,P-2006,2,Online,0.0
ORD-50240,2023-05-21,CUST-1878,P-2017,1,Mobile App,0.0
ORD-50241,2023-08-17,CUST-1378,P-2012,3,Mobile App,0.1
ORD-50242,2023-02-13,CUST-1990,P-2010,5,In-Store,0.07
ORD-50243,2023-08-14,CUST-1743,P-2041,2,Mobile App,0.0
ORD-50244,2024-02-24,CUST-1118,P-2004,2,Mobile App,0.0
ORD-50245,2023-12-16,CUST-1722,P-2025,4,In-Store,0.13
ORD-50246,2023-12-14,CUST-1323,P-2034,1,In-Store,0.0
ORD-50247,2023-11-30,CUST-1878,P-2018,3,Mobile App,0.0
ORD-50248,2024-01-31,CUST-1691,P-2048,2,In-Store,0.0
ORD-50249,2023-04-03,CUST-1320,P-2036,-1,Online,0.0
ORD-50250,2023-12-17,CUST-1456,P-2023,2,Mobile App,0.0
ORD-50251,2023-11-01,CUST-1672,P-2014,5,Mobile App,0.0
ORD-50252,2023-12-03,CUST-1782,P-2042,5,Online,0.0
ORD-50253,2023-08-28,CUST-1676,P-2005,4,Mobile App,0.1
ORD-50254,2023-03-24,CUST-1799,P-2005,3,Online,0.0
ORD-50255,2024-02-21,CUST-1271,P-2012,4,In-Store,0.0
ORD-50256,2023-09-09,CUST-1111,P-2010,5,In-Store,0.03
ORD-50257,02/07/23,CUST-1072,P-2037,3,Mobile App,0.0
ORD-50258,2023-01-20,CUST-1680,P-2025,3,Online,0.0
ORD-50259,2024-01-30,CUST-1502,P-2031,4,Online,0.0
ORD-50260,2023-01-02,CUST-1393,P-2045,4,In-Store,0.0
ORD-50261,2023-07-25,CUST-1056,P-2041,1,In-Store,0.09
ORD-50262,2023-04-14,CUST-1180,P-2036,1,In-Store,0.19
ORD-50263,2023-07-03,CUST-1498,P-2006,4,Mobile App,0.07
ORD-50264,2023-07-19,CUST-1064,P-2035,3,Online,0.0
ORD-50265,2023-01-29,CUST-1345,P-2047,1,Mobile App,0.0
ORD-50266,2023-12-14,CUST-1891,P-2035,2,Mobile App,0.0
ORD-50267,2023-12-01,CUST-1019,P-2031,5,Online,0.0
ORD-50268,2023-06-07,CUST-1840,P-2007,4,Online,0.0
ORD-50269,2023-11-01,CUST-1818,P-2040,2,Mobile App,0.0
ORD-50270,2023-06-16,CUST-1123,P-2044,5,Online,0.18
ORD-50271,2023-06-21,CUST-1064,P-2008,3,Mobile App,0.0
ORD-50272,2023-05-05,CUST-1947,P-2038,1,In-Store,0.0
ORD-50273,2023-09-07,CUST-1082,P-2001,1,In-Store,0.0
ORD-50274,2024-02-18,CUST-1811,P-2050,4,Mobile App,0.0
ORD-50275,2023-05-03,CUST-1960,P-2012,5,Mobile App,0.19
,2024-02-05,CUST-1308,P-2023,4,Mobile App,0.19
ORD-50277,2024-03-17,CUST-1779,P-2035,5,In-Store,0.0
ORD-50278,2023-02-27,CUST-1815,P-2010,4,Online,0.0
ORD-50279,2023-05-26,CUST-1214,P-2028,3,Online,0.0
ORD-50280,01/27/23,CUST-1947,P-2035,2,Online,0.22
ORD-50281,2023-10-31,CUST-1593,P-2021,4,Online,0.0
ORD-50282,2023-02-20,CUST-1242,P-2048,4,In-Store,0.0
ORD-50283,2023-01-28,CUST-1911,P-2028,2,In-Store,0.0
ORD-50284,2024-01-04,CUST-1198,P-2041,3,Mobile App,0.0
ORD-50285,2023-05-24,CUST-1139,P-2008,4,In-Store,0.0
ORD-50286,2024-02-09,CUST-1813,P-2041,5,Online,0.0
ORD-50287,2024-03-14,CUST-1534,P-2032,2,Mobile App,0.0
ORD-50288,2024-03-22,CUST-1252,P-2016,3,Online,0.27
ORD-50289,2023-08-02,CUST-1045,P-2003,4,In-Store,0.0
ORD-50290,2024-02-13,CUST-1713,P-2007,4,Mobile App,0.28
ORD-50291,2023-03-09,CUST-1367,P-2019,2,In-Store,0.0
ORD-50292,2023-08-24,CUST-1878,P-2037,5,Mobile App,0.0
ORD-50293,02/09/24,CUST-1892,P-2024,4,In-Store,0.1
ORD-50294,2023-01-17,CUST-1303,P-2028,3,Online,0.02
ORD-50295,2024-03-26,CUST-1343,P-2048,1,Online,0.0
ORD-50296,2023-07-07,CUST-1476,P-2040,1,Online,0.0
ORD-50297,2024-02-01,CUST-1209,P-2009,3,Mobile App,0.21
ORD-50298,2024-01-21,CUST-1762,P-2049,2,In-Store,0.0
ORD-50299,2023-02-02,CUST-1381,P-2023,4,Mobile App,0.0
ORD-50300,2024-02-27,CUST-1545,P-2019,4,Online,0.0
ORD-50301,2023-08-23,CUST-1089,P-2006,4,Online,0.0
ORD-50302,2023-02-27,CUST-1713,P-2010,4,Online,0.0
ORD-50303,2023-12-16,CUST-1554,P-2009,4,In-Store,0.0
ORD-50304,2023-01-12,CUST-1892,P-2015,5,Mobile App,0.15
ORD-50305,2023-12-07,CUST-1713,P-2034,5,In-Store,0.0
ORD-50306,2023-05-14,CUST-1232,P-2031,3,In-Store,0.0
ORD-50307,2023-03-27,CUST-1633,P-2011,5,Mobile App,0.24
ORD-50308,2023-03-24,CUST-1243,P-2008,1,In-Store,0.0
ORD-50309,2023-10-15,CUST-1724,P-2003,3,Online,0.0
ORD-50310,2023-03-04,CUST-1942,P-2002,4,In-Store,0.0
ORD-50311,2024-01-14,CUST-1559,P-2033,3,Mobile App,0.0
ORD-50312,2024-02-14,CUST-1578,P-2047,4,Online,0.0
ORD-50313,2023-10-10,CUST-1119,P-2020,1,Online,0.0
ORD-50314,2023-11-08,CUST-1656,P-2013,5,Online,0.0
ORD-50315,2023-10-03,CUST-1869,P-2029,1,Mobile App,0.0
ORD-50316,2023-01-29,CUST-1930,P-2043,3,In-Store,0.0
ORD-50317,2023-05-26,CUST-1353,P-2023,3,Mobile App,0.22
ORD-50318,2023-08-01,CUST-1822,P-2029,3,Mobile App,0.04
ORD-50319,2023-10-28,CUST-1612,P-2006,2,In-Store,0.0
,2023-10-30,CUST-1774,P-2025,1,Online,0.0
ORD-50321,2023-12-30,CUST-1581,P-2049,2,In-Store,0.0
ORD-50322,2024-02-28,CUST-1309,P-2038,3,Online,0.0
ORD-50323,2023-06-03,CUST-1978,P-2041,4,Online,0.0
ORD-50324,2023-12-19,CUST-1660,P-2016,1,Online,0.0
ORD-50325,2023-07-05,CUST-1595,P-2031,5,Mobile App,0.11
ORD-50326,2024-01-11,CUST-1589,P-2002,3,Mobile App,0.0
ORD-50327,2023-03-25,CUST-1054,P-2018,3,In-Store,0.0
ORD-50328,2023-11-24,CUST-1958,P-2005,5,Mobile App,0.16
ORD-50329,2024-03-22,CUST-1323,P-2044,3,Mobile App,0.0
ORD-50330,2024-02-26,CUST-1147,P-2001,2,In-Store,0.05
ORD-50331,2023-04-22,CUST-1158,P-2033,2,Mobile App,0.16
ORD-50332,2023-09-30,CUST-1729,P-2036,1,Online,0.14
ORD-50333,2023-06-09,CUST-1707,P-2024,2,In-Store,0.0
ORD-50334,2023-06-05,CUST-1029,P-2048,1,Online,0.0
ORD-50335,2023-04-18,CUST-1133,P-2006,4,In-Store,0.01
ORD-50336,2023-02-25,CUST-1033,P-2043,5,Online,0.0
ORD-50337,2023-12-08,CUST-1010,P-2049,1,Online,0.0
ORD-50338,2023-06-29,CUST-1029,P-2006,2,In-Store,0.0
ORD-50339,2024-03-13,CUST-1512,P-2050,5,Mobile App,0.16
ORD-50340,2024-01-02,CUST-1196,P-2019,2,Online,0.28
ORD-50341,2024-03-11,CUST-1724,P-2031,3,Online,0.0
ORD-50342,2023-07-01,CUST-1388,P-2028,2,In-Store,0.0
ORD-50343,2023-02-26,CUST-1532,P-2009,4,Online,0.0
ORD-50344,2023-09-10,CUST-1118,P-2025,3,In-Store,0.0
ORD-50345,2023-07-28,CUST-1297,P-2028,2,Mobile App,0.0
ORD-50346,2023-01-07,CUST-1690,P-2032,1,Online,0.0
ORD-50347,2023-07-25,CUST-1711,P-2038,1,In-Store,0.1
ORD-50348,2023-11-01,CUST-1864,P-2026,1,Mobile App,0.18
ORD-50349,2024-01-23,CUST-1808,P-2042,4,In-Store,0.0
ORD-50350,2023-03-17,CUST-1786,P-2030,1,Online,0.0
ORD-50351,2024-01-13,CUST-1054,P-2005,4,Mobile App,0.0
ORD-50352,2023-06-05,CUST-1636,P-2040,1,In-Store,0.06
ORD-50353,2023-12-05,CUST-1509,P-2032,5,Mobile App,0.0
ORD-50354,2024-01-27,CUST-1032,P-2028,1,In-Store,0.0
ORD-50355,2023-04-01,CUST-1570,P-2043,3,In-Store,0.15
ORD-50356,2023-02-26,CUST-1582,P-2044,4,In-Store,0.0
ORD-50357,2023-03-22,CUST-1518,P-2004,4,Mobile App,0.0
ORD-50358,2023-05-26,CUST-1328,P-2004,1,Mobile App,0.0
ORD-50359,2024-01-27,CUST-1912,P-2041,3,In-Store,0.0
ORD-50360,2023-12-05,CUST-1250,P-2016,2,Online,0.03
ORD-50361,2023-03-28,CUST-1020,P-2035,3,Mobile App,0.08
ORD-50362,2023-12-23,CUST-1480,P-2038,1,Mobile App,0.0
ORD-50363,2023-09-08,CUST-1102,P-2045,2,In-Store,0.0
ORD-50364,2023-06-03,CUST-1372,P-2028,2,Mobile App,0.0
ORD-50365,2023-05-16,CUST-1048,P-2020,5,Online,0.17
ORD-50366,2023-10-31,CUST-1344,P-2018,1,In-Store,0.2
ORD-50367,2023-06-04,CUST-1516,P-2020,4,In-Store,0.0
ORD-50368,08/21/23,CUST-1687,P-2049,5,Online,0.0
ORD-50369,2023-04-20,CUST-1676,P-2048,4,In-Store,0.22
ORD-50370,2023-01-31,CUST-1534,P-2013,3,In-Store,0.12
ORD-50371,2024-03-16,CUST-1850,P-2005,2,Online,0.0
ORD-50372,2023-11-04,CUST-1241,P-2026,2,In-Store,0.0
ORD-50373,2023-10-14,CUST-1446,P-2028,1,In-Store,0.0
ORD-50374,2023-04-01,CUST-1659,P-2003,4,In-Store,0.0
ORD-50375,2024-03-19,CUST-1065,P-2027,3,Mobile App,0.07
ORD-50376,2023-10-20,CUST-1752,P-2033,1,Mobile App,0.0
ORD-50377,2023-02-16,CUST-1243,P-2039,1,Mobile App,0.0
ORD-50378,2024-01-19,CUST-1761,P-2016,4,In-Store,0.0
ORD-50379,2023-05-11,CUST-1883,P-2038,1,In-Store,0.0
ORD-50380,2023-09-01,CUST-1699,P-2016,3,Mobile App,0.0
